interaction_id,source_id,ReportedCommonName,ReportedScientificName,method,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage
int_679,Calderón Vega 2002,Weevil,Coleoptera Curculionidae,scat,Curculionidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,x,x,
int_172,Calderón Vega 2002,Desert Iguana,Dipsosaurus dorsalis,scat,Dipsosaurus dorsalis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Diposaurus,Dipsosaurus dorsalis,
int_410,Calderón Vega 2002,Little blue heron,Egretta caerulea,scat,Egretta caerulea,ITIS,species,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta caerulea,
int_162,Calderón Vega 2002,Click beetle,Coleoptera Elataridae,scat,Elateridae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,x,x,
int_546,Calderón Vega 2002,Rock fig,Ficus palmeri,scat,Ficus palmeri,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus palmeri,
int_002,Calderón Vega 2002,papel alminio,n/a,scat,Foil,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_737,Calderón Vega 2002,n/a,Forchhammeria watsonii,scat,Forchamera watsonii,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Forchhammeria,Forchhammeria watsonii,
int_640,Calderón Vega 2002,Swamp privet,Forestiera macrocarpa,scat,Forestiera macrocarpa,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Forestiera,Forestiera macrocarpa,
int_008,Calderón Vega 2002,American coot,Fulica americana,scat,Fulica americana,ITIS,species,Animalia,Chordata,Aves,Gruliformes,Rallidae,Fulica,Fulica americana,
int_204,Calderón Vega 2002,Cricket,Orthoptera Gryllidae,scat,Gryllidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,x,x,
int_366,Calderón Vega 2002,Hooded oriole,Icterus cucullatus,scat,Icterus cucullatus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus cucullatus,
int_501,Calderón Vega 2002,Physicnut,Jatropha cuneata,scat,Jatropha cuneata,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Jaltomata,Jatropha cuneata,
int_197,Calderón Vega 2002,Coyotillo,Karwinskia humboldtiana,scat,Karwinskia humboldtiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Karwinskia,Karwinskia humboldtiana,
int_413,Calderón Vega 2002,Loggerhead shrike,Lanius ludovicianus,scat,Lanius ludovicianus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius ludovicianus,
int_113,Calderón Vega 2002,Butterfly,Lepidoptera,scat,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,
int_114,Calderón Vega 2002,Butterfly,Lepidoptera (Larvas),scat,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,larvae
int_082,Calderón Vega 2002,Black jack rabbit,Lepus insularis,scat,Lepus insularis,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus insularis,
int_184,Calderón Vega 2002,Common skimmer,Odonata Libellulidae,scat,Libellulidae,ITIS,family,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,x,x,
int_738,Calderón Vega 2002,n/a,Hemiptera Lygaeidae,scat,Lygaeidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,,,
int_425,Calderón Vega 2002,Mantid,Orthoptera Mantidae,scat,Mantidae,ITIS,family,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,x,x,
int_209,Calderón Vega 2002,Crusted flycatcher,Myiarchus sp. ,scat,Myiarchus,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,x,
int_244,Calderón Vega 2002,Desert woodrat,Neotoma lepida,scat,Neotoma lepida,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma lepida,
int_739,Calderón Vega 2002,n/a,Pachycereus pringles,scat,Pachycereus pringlei,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Pachycereus,Pachycereus pringlei,
int_485,Calderón Vega 2002,Paper,n/a,scat,Paper,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_740,Calderón Vega 2002,n/a,Hemiptera Penatatomidae,scat,Pentatomidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,x,x,
int_126,Calderón Vega 2002,Cactus mouse,Peromyscus eremicus,scat,Peromyscus eremicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,
int_181,Calderón Vega 2002,n/a,Petrosaurus thalassinus,scat,Petrosaurus thalassinus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Petrosaurus,Petrosaurus thalassinus,
int_742,Calderón Vega 2002,n/a,Phalacrocarax sp. ,scat,Phalacrocorax,ITIS,genus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae ,Phalacrocorax,x,
int_743,Calderón Vega 2002,n/a,Orthoptera Phasmatidae,scat,Phasmatidae,ITIS,family,Animalia,Arthropoda,Insecta,Phasmida,Phasmatidae,x,x,
int_744,Calderón Vega 2002,n/a,Phorandendron diguetianum,scat,Phorandendron diguetianum,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Phorandendron,Phorandendron diguetianum,
int_507,Calderón Vega 2002,Plastic,plastico,scat,Plastic,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,
int_086,Calderón Vega 2002,Black-necked grebe,Podiceps nigricallis,scat,Podiceps nigricollis,ITIS,species,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps nigricollis,
int_502,Calderón Vega 2002,Pied-billed grebe,Podilymbus podiceps,scat,Podilymbus podiceps,ITIS,species,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus,Podilymbus podiceps,
int_745,Calderón Vega 2002,n/a,Randia megacarpa,scat,Randia megacarpa,not recognized,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales ,Rubiaceae,Randia,Randia megacarpa,
int_004,Calderón Vega 2002,American avocet,Recuvirostra americana,scat,Recurvirostra americana,ITIS,species,Animalia,Chordata,Aves,Charadriiformers,Recurvirostridae,Recurvirostra,Recurvirostra americana,
int_169,Calderón Vega 2002,Common chuckwalla,Sauromalus ater,scat,Sauromalus ater,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater,
